Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
250,1670987483.603,71.7,19.4,0.0,94,64,59
251,1670987513.639,70.8,19.2,0.0,96,67,60
252,1670987543.668,70.7,19.5,0.0,97,68,61
253,1670987573.697,71.5,19.1,0.0,95,66,61
254,1670987603.726,74.1,19.1,0.0,96,61,60
255,1670987633.754,73.8,19.1,0.0,94,63,60
256,1670987663.787,74.1,19.1,0.0,97,62,59
257,1670987693.819,74.3,19.3,0.0,94,59,59
258,1670987723.848,73.5,19.3,0.0,94,65,59
259,1670987753.877,73.6,19.1,0.0,96,67,60
260,1670987783.906,73.3,19.1,0.0,89,59,61
261,1670987813.935,71.0,19.1,0.0,94,62,60
262,1670987843.967,70.7,19.4,0.0,94,61,60
263,1670987873.995,60.6,20.0,0.0,96,61,60
264,1670987904.024,70.0,19.9,0.0,88,60,60
265,1670987934.053,71.6,20.0,0.0,96,67,61
266,1670987964.082,72.0,20.0,0.0,97,69,58
267,1670987994.111,71.7,19.9,0.0,93,63,57
268,1670988024.14,70.9,20.5,0.0,96,60,58
269,1670988054.169,70.2,20.0,0.0,94,65,59
270,1670988084.204,69.6,20.0,0.0,95,67,61
271,1670988114.233,69.4,20.0,0.0,97,68,59
272,1670988144.266,68.9,20.0,0.0,97,69,59
273,1670988174.294,67.9,19.9,0.0,96,60,59
274,1670988204.324,69.3,20.0,0.0,93,63,60
275,1670988234.362,69.7,20.1,0.0,95,66,59
276,1670988264.396,71.9,19.9,0.0,93,62,59
277,1670988294.431,71.1,19.9,0.0,96,60,59
278,1670988324.47,70.6,19.8,0.0,93,64,59
279,1670988354.498,71.2,19.8,0.0,97,69,60
280,1670988384.527,69.9,19.8,0.0,94,65,60
281,1670988414.561,70.0,19.9,0.0,96,63,61
282,1670988444.59,68.9,20.5,0.0,91,63,58
283,1670988474.618,64.4,22.1,0.0,94,65,58
284,1670988504.65,67.8,14.8,0.0,94,65,60
285,1670988534.679,84.1,14.8,0.0,94,58,60
286,1670988564.707,83.5,14.8,0.0,97,63,59
287,1670988594.736,82.8,14.8,0.0,94,61,60
288,1670988624.765,82.1,14.8,0.0,94,65,59
289,1670988654.794,82.0,14.8,0.0,95,66,61
290,1670988684.824,83.5,14.8,0.0,96,61,62
291,1670988714.853,82.8,14.8,0.0,93,64,62
292,1670988744.882,82.2,14.8,0.0,95,67,62
293,1670988774.913,82.0,14.8,0.0,94,62,62
294,1670988804.942,82.4,14.8,0.0,93,62,63
295,1670988834.971,83.8,14.8,0.0,93,64,63
296,1670988865.0,82.0,14.8,0.0,94,65,63
297,1670988895.031,82.1,14.8,0.0,93,61,63
298,1670988925.06,83.5,14.7,0.0,90,62,61
299,1670988955.088,85.9,14.8,0.0,97,69,61
300,1670988985.117,85.3,14.8,0.0,94,62,62
301,1670989015.148,84.8,14.7,0.0,92,57,62
302,1670989045.177,84.4,14.7,0.0,92,63,62
303,1670989075.205,84.9,14.8,0.0,94,64,62
304,1670989105.233,86.5,14.8,0.0,94,65,63
305,1670989135.263,82.9,14.8,0.0,94,63,62
306,1670989165.292,82.2,14.8,0.0,96,60,62
307,1670989195.325,82.2,14.8,0.0,89,62,62
308,1670989225.354,83.2,14.8,0.0,96,68,63
309,1670989255.382,83.3,14.8,0.0,95,59,63
310,1670989285.42,82.1,14.8,0.0,94,65,63
311,1670989315.449,74.5,15.7,0.0,93,64,63
312,1670989345.478,58.1,16.8,0.0,94,62,64
313,1670989375.507,66.4,18.4,0.0,93,64,65
314,1670989405.536,68.0,18.4,0.0,93,64,64
315,1670989435.566,67.5,18.4,0.0,46,30,63
316,1670989465.599,67.4,16.4,0.0,93,62,63
317,1670989495.628,58.3,17.5,0.0,93,62,62
318,1670989525.657,63.9,18.4,0.0,96,62,62
319,1670989555.685,65.5,15.4,0.0,96,61,63
320,1670989585.72,59.9,16.4,0.0,94,59,63
321,1670989615.75,60.2,17.9,0.0,94,64,62
322,1670989645.782,61.4,19.6,0.0,94,62,62
323,1670989675.811,74.6,20.0,0.0,93,64,63
324,1670989705.839,74.3,19.8,0.0,93,62,63
325,1670989735.868,74.6,19.8,0.0,92,64,61
326,1670989765.901,74.5,20.0,0.0,97,69,60
327,1670989795.929,70.5,20.4,0.0,96,59,59
328,1670989825.958,71.9,20.7,0.0,97,68,58
329,1670989855.987,72.0,20.6,0.0,96,60,59
330,1670989886.015,71.8,20.5,0.0,96,63,60
331,1670989916.043,71.2,20.7,0.0,93,62,60
332,1670989946.081,71.6,20.5,0.0,96,60,60
333,1670989976.116,71.9,20.4,0.0,94,64,60
334,1670990006.145,71.8,20.5,0.0,95,66,59
335,1670990036.174,71.5,20.6,0.0,94,66,57
336,1670990066.203,71.8,20.7,0.0,97,69,57
337,1670990096.232,67.4,18.8,0.0,96,68,60
338,1670990126.261,55.2,18.9,0.0,94,64,61
339,1670990156.29,55.9,19.1,0.0,96,67,61
340,1670990186.326,55.5,18.8,0.0,97,63,59
341,1670990216.361,55.5,18.9,0.0,94,64,58
342,1670990246.391,55.8,18.8,0.0,97,68,58
343,1670990276.42,58.2,18.7,0.0,97,63,59
344,1670990306.449,58.1,18.9,0.0,90,63,59
345,1670990336.481,57.9,18.9,0.0,96,67,59
346,1670990366.51,58.0,19.0,0.0,94,62,59
347,1670990396.542,58.5,18.9,0.0,97,68,59
