Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
209,1670986638.055,84.8,13.9,0.0,94,67,58,0,0,25
210,1670986668.084,84.7,13.9,0.0,94,67,62,0,0,25
211,1670986698.113,84.8,13.9,0.0,97,69,62,0,0,25
212,1670986728.131,84.6,13.9,0.0,93,65,63,0,0,25
213,1670986758.16,84.7,13.9,0.0,91,64,63,0,0,25
214,1670986788.189,84.8,14.0,0.0,91,59,63,0,0,25
215,1670986818.218,84.6,14.0,0.0,92,61,63,0,0,25
216,1670986848.246,84.7,14.0,0.0,91,63,63,0,0,25
217,1670986878.275,84.9,13.9,0.0,94,67,60,0,0,25
218,1670986908.304,84.8,13.9,0.0,92,65,62,0,0,25
219,1670986938.333,84.8,14.0,0.0,93,62,62,0,0,25
220,1670986968.362,84.6,14.0,0.0,91,61,63,0,0,25
221,1670986998.391,84.7,14.0,0.0,94,58,62,0,0,25
222,1670987028.394,84.8,14.0,0.0,91,62,63,0,0,25
223,1670987058.425,84.7,14.0,0.0,91,59,63,0,0,25
224,1670987088.452,84.8,14.0,0.0,97,68,63,0,0,25
225,1670987118.48,84.8,13.9,0.0,91,63,63,0,0,25
226,1670987148.509,84.9,13.9,0.0,91,64,63,0,0,25
227,1670987178.538,84.7,13.9,0.0,95,68,63,0,0,25
228,1670987208.567,84.7,13.9,0.0,97,68,63,0,0,25
229,1670987238.595,84.8,13.9,0.0,91,62,63,0,0,25
230,1670987268.624,74.0,14.7,0.0,91,64,63,0,0,25
231,1670987298.653,85.2,14.7,0.0,96,68,63,0,0,25
232,1670987328.681,85.2,14.7,0.0,94,58,62,0,0,25
233,1670987358.709,85.3,14.7,0.0,92,64,62,0,0,25
234,1670987388.738,86.0,14.7,0.0,91,61,62,0,0,25
235,1670987418.752,85.6,14.7,0.0,94,59,63,0,0,25
236,1670987448.781,85.2,14.7,0.0,91,64,63,0,0,25
237,1670987478.802,85.2,14.7,0.0,93,62,63,0,0,25
238,1670987508.831,85.2,14.7,0.0,91,60,63,0,0,25
239,1670987538.86,85.2,14.7,0.0,94,67,63,0,0,25
240,1670987568.864,85.1,14.7,0.0,94,62,63,0,0,25
241,1670987598.893,85.3,14.7,0.0,97,69,62,0,0,25
242,1670987628.922,85.2,14.7,0.0,94,58,62,0,0,25
243,1670987658.952,85.3,14.7,0.0,91,64,63,0,0,25
244,1670987688.98,85.3,14.7,0.0,91,63,63,0,0,25
245,1670987719.009,85.3,14.7,0.0,94,59,63,0,0,25
246,1670987749.011,85.6,14.7,0.0,91,64,62,0,0,25
247,1670987779.04,85.1,14.7,0.0,91,62,63,0,0,25
248,1670987809.069,85.2,14.7,0.0,93,58,63,0,0,25
249,1670987839.071,85.3,14.7,0.0,93,61,62,0,0,25
250,1670987869.1,85.1,14.7,0.0,90,63,63,0,0,25
251,1670987899.129,85.2,14.7,0.0,97,70,62,0,0,25
252,1670987929.157,85.3,14.7,0.0,93,58,62,0,0,25
253,1670987959.192,85.1,14.7,0.0,92,62,63,0,0,25
254,1670987989.221,85.1,14.7,0.0,95,68,63,0,0,25
255,1670988019.25,85.1,14.7,0.0,93,62,62,0,0,25
256,1670988049.279,85.2,14.7,0.0,49,32,60,0,0,25
257,1670988079.301,85.1,14.7,0.0,97,70,61,0,0,25
258,1670988109.33,85.1,14.7,0.0,92,64,61,0,0,25
259,1670988139.359,85.1,14.7,0.0,90,63,62,0,0,25
260,1670988169.388,85.2,14.7,0.0,95,68,62,0,0,25
261,1670988199.417,85.1,14.7,0.0,94,59,62,0,0,25
262,1670988229.44,85.0,14.7,0.0,91,60,62,0,0,25
263,1670988259.466,85.2,14.7,0.0,93,66,63,0,0,25
264,1670988289.495,85.3,14.7,0.0,91,64,62,0,0,25
265,1670988319.523,85.1,14.7,0.0,95,67,62,0,0,25
266,1670988349.525,85.2,14.7,0.0,93,60,62,0,0,25
267,1670988379.554,85.2,14.7,0.0,90,62,62,0,0,25
268,1670988409.583,85.2,14.7,0.0,92,64,62,0,0,25
269,1670988439.612,85.2,14.7,0.0,94,59,63,0,0,25
270,1670988469.641,85.1,14.7,0.0,91,64,63,0,0,25
271,1670988499.67,85.1,14.7,0.0,95,68,62,0,0,25
272,1670988529.699,85.2,14.7,0.0,94,67,62,0,0,25
273,1670988559.71,85.1,14.7,0.0,91,64,62,0,0,25
274,1670988589.71,85.2,14.7,0.0,91,64,63,0,0,25
275,1670988619.739,85.5,14.7,0.0,96,68,62,0,0,25
276,1670988649.768,85.9,14.7,0.0,91,56,62,0,0,25
277,1670988679.797,85.3,14.7,0.0,92,64,62,0,0,25
