Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
1670039609.885,6.8,35.4,0.0,92,50,74
1670039614.889,6.7,35.4,0.0,93,51,74
1670039619.893,6.8,35.4,0.0,92,51,74
1670039624.904,6.9,35.4,0.0,93,52,75
1670039629.908,6.9,35.4,0.0,92,51,75
1670039634.912,7.0,35.4,0.0,93,51,75
1670039639.916,6.8,35.4,0.0,93,52,74
1670039644.921,6.9,35.4,0.0,84,47,75
1670039649.925,6.8,35.4,0.0,88,48,74
1670039654.929,6.9,35.4,0.0,88,49,74
1670039659.933,6.8,35.4,0.0,90,49,74
1670039664.937,6.5,35.4,0.0,93,52,73
1670039669.941,6.8,35.4,0.0,93,52,74
1670039674.944,6.7,35.4,0.0,92,48,74
1670039679.952,6.8,35.4,0.0,91,48,74
1670039684.959,6.8,35.4,0.0,0,0,70
1670039689.963,6.8,35.4,0.0,93,52,74
1670039694.970,6.8,35.4,0.0,93,51,74
1670039699.974,6.8,35.4,0.0,90,50,73
1670039704.981,6.7,35.4,0.0,92,50,74
1670039709.985,6.8,35.4,0.0,93,52,74
1670039714.989,6.9,35.4,0.0,93,52,74
1670039719.992,6.9,35.4,0.0,93,51,74
1670039724.996,6.7,35.4,0.0,93,52,74
1670039730.000,6.9,35.4,0.0,93,52,74
1670039735.004,6.8,35.4,0.0,90,50,74
1670039740.009,6.8,35.4,0.0,91,50,74
1670039745.020,7.0,35.4,0.0,89,49,74
1670039750.024,7.4,35.4,0.0,92,51,74
1670039755.031,6.7,35.4,0.0,92,50,74
1670039760.035,6.9,35.4,0.0,93,52,74
1670039765.039,6.7,35.4,0.0,93,52,74
1670039770.043,6.8,35.4,0.0,93,51,74
1670039775.049,6.8,35.4,0.0,91,51,74
1670039780.053,6.8,35.4,0.0,91,49,74
1670039785.061,6.7,35.4,0.0,93,51,74
1670039790.066,6.8,35.4,0.0,91,51,74
1670039795.070,6.7,35.4,0.0,92,50,74
1670039800.075,6.8,35.4,0.0,93,51,74
