Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1670257957.024,6.7,8.3,0.0,81,24,61,18,2,56
1670257961.434,6.9,8.3,0.0,11,2,61,46,11,56
1670257962.029,6.8,8.3,0.0,23,10,62,82,21,57
1670257966.438,6.7,8.3,0.0,94,24,63,69,18,58
1670257967.042,6.7,8.3,0.0,99,27,62,49,13,57
1670257971.443,6.5,8.3,0.0,94,23,62,80,23,57
1670257972.046,6.5,8.3,0.0,15,3,63,51,11,58
1670257976.447,6.5,8.3,0.0,35,8,63,27,11,58
1670257977.050,6.4,8.3,0.0,94,22,63,100,26,57
1670257981.451,6.6,8.3,0.0,68,20,61,100,27,57
1670257982.053,6.7,8.3,0.0,37,10,61,73,15,57
1670257986.454,6.6,8.3,0.0,99,25,62,83,21,57
1670257987.058,6.6,8.3,0.0,58,17,62,23,10,57
1670257991.458,6.5,8.3,0.0,25,10,63,2,1,58
1670257992.070,6.5,8.3,0.0,100,27,63,99,26,58
1670257996.462,6.7,8.3,0.0,95,24,64,99,27,59
1670257997.074,6.6,8.3,0.0,24,2,62,84,25,57
1670258001.465,6.5,8.3,0.0,51,10,62,97,24,57
1670258002.079,6.5,8.3,0.0,19,2,63,7,1,58
1670258006.472,6.5,8.3,0.0,21,2,63,55,16,58
1670258007.083,6.5,8.3,0.0,95,24,64,73,18,59
1670258011.476,6.7,8.3,0.0,100,26,62,93,23,58
1670258012.089,6.7,8.3,0.0,76,19,63,100,28,58
1670258016.480,6.6,8.3,0.0,95,26,62,97,27,58
1670258017.095,6.6,8.3,0.0,29,4,62,34,12,58
1670258021.484,6.5,8.3,0.0,91,18,62,99,25,57
1670258022.103,6.6,8.3,0.0,61,14,63,8,4,58
1670258026.490,6.6,8.3,0.0,11,1,62,47,13,57
1670258027.108,6.6,8.3,0.0,24,10,63,74,18,58
1670258031.495,6.5,8.3,0.0,53,17,63,20,9,58
1670258032.112,6.5,8.3,0.0,86,25,63,99,26,59
1670258036.499,6.5,8.3,0.0,20,9,64,82,21,59
1670258037.117,6.5,8.3,0.0,100,27,62,38,10,57
1670258041.503,6.7,8.3,0.0,95,28,63,94,26,58
1670258042.124,6.7,8.3,0.0,47,10,63,81,24,57
1670258046.513,6.6,8.3,0.0,100,23,62,46,13,58
1670258047.129,6.6,8.3,0.0,14,6,63,24,5,58
1670258051.518,6.5,8.3,0.0,23,5,63,41,14,58
1670258052.133,6.6,8.3,0.0,95,24,64,72,18,59
1670258056.522,6.6,8.3,0.0,91,24,64,66,17,59
1670258057.139,6.5,8.3,0.0,29,7,62,50,15,57
1670258061.526,6.5,8.3,0.0,58,15,62,38,10,57
1670258062.144,6.5,8.3,0.0,71,18,64,95,25,59
1670258066.531,6.5,8.3,0.0,63,17,64,93,24,59
1670258067.147,6.5,8.3,0.0,58,15,63,99,25,58
1670258071.534,6.7,8.3,0.0,94,22,63,94,24,58
1670258072.158,6.7,8.3,0.0,6,1,64,21,2,59
1670258076.546,6.6,8.3,0.0,11,1,64,41,11,59
1670258077.169,6.6,8.3,0.0,96,23,64,86,22,58
1670258081.550,6.5,8.3,0.0,95,24,65,72,18,59
1670258082.173,6.5,8.3,0.0,18,2,63,48,14,58
1670258086.555,6.7,8.3,0.0,50,14,63,82,23,58
1670258087.178,6.6,8.3,0.0,20,4,63,45,14,58
1670258091.560,6.5,8.3,0.0,55,16,64,24,10,58
1670258092.183,6.5,8.3,0.0,88,23,63,99,27,58
1670258096.563,6.5,8.3,0.0,86,24,63,99,27,58
1670258097.187,6.5,8.3,0.0,40,13,64,16,7,59
1670258101.575,6.7,8.3,0.0,27,11,64,4,1,59
