Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671154537.176,5.2,17.0,0.0,97,62,62,0,0,31
1671154567.205,5.3,17.0,0.0,100,60,60,0,0,31
1671154597.234,5.3,17.0,0.0,100,45,62,0,0,31
1671154627.263,5.2,17.3,0.0,100,41,62,0,0,31
1671154657.292,5.2,17.6,0.0,100,49,62,0,0,32
1671154687.321,5.4,17.7,0.0,100,45,60,0,0,32
1671154717.350,5.2,17.7,0.0,100,46,62,0,0,32
1671154747.379,5.2,17.7,0.0,99,36,62,0,0,32
1671154777.408,5.2,17.7,0.0,100,53,62,0,0,32
1671154807.422,5.3,17.7,0.0,96,69,61,0,0,32
1671154837.451,5.3,17.7,0.0,100,45,62,0,0,32
1671154867.480,5.4,17.7,0.0,99,37,63,0,0,32
1671154897.509,5.3,17.7,0.0,100,53,63,0,0,32
1671154927.538,5.2,17.7,0.0,96,69,62,0,0,31
1671154957.567,5.2,17.7,0.0,100,45,63,0,0,32
1671154987.596,5.3,17.7,0.0,100,43,62,0,0,32
1671155017.625,5.3,17.7,0.0,100,53,63,0,0,32
1671155047.654,5.2,17.7,0.0,100,62,62,0,0,31
1671155077.666,5.3,17.7,0.0,100,46,62,0,0,32
1671155107.695,7.8,17.8,0.0,100,40,62,0,0,31
1671155137.723,8.1,17.8,0.0,98,45,62,0,0,32
1671155167.752,8.2,17.8,0.0,97,71,62,0,0,32
1671155197.764,8.0,17.8,0.0,100,46,62,0,0,32
1671155227.779,8.0,18.0,0.0,99,36,62,0,0,32
1671155257.808,8.0,18.3,0.0,100,47,62,0,0,31
1671155287.837,8.1,18.5,0.0,96,68,62,0,0,32
1671155317.866,8.1,18.5,0.0,100,45,63,0,0,32
1671155347.887,8.0,18.5,0.0,100,42,62,0,0,31
1671155377.916,8.0,18.5,0.0,100,53,63,0,0,31
1671155407.945,8.0,18.5,0.0,100,54,62,0,0,31
1671155437.974,8.1,18.5,0.0,100,47,62,0,0,32
1671155467.995,8.1,18.5,0.0,99,41,62,0,0,31
1671155498.024,8.0,18.5,0.0,100,53,63,0,0,32
1671155528.053,8.0,18.5,0.0,97,70,62,0,0,32
1671155558.082,8.0,18.5,0.0,100,45,62,0,0,31
1671155588.100,8.1,18.5,0.0,99,37,62,0,0,31
1671155618.129,8.2,18.5,0.0,100,53,62,0,0,31
1671155648.145,8.0,18.5,0.0,100,64,61,0,0,31
1671155678.174,8.0,18.5,0.0,100,45,62,0,0,32
1671155708.186,8.1,18.5,0.0,100,45,62,0,0,31
1671155738.215,8.1,18.5,0.0,100,53,63,0,0,32
1671155768.244,8.1,18.5,0.0,100,46,60,0,0,32
1671155798.273,6.9,7.9,0.0,100,45,63,0,0,32
1671155828.291,6.2,7.9,0.0,99,41,65,0,0,32
1671155858.320,5.6,7.9,0.0,97,73,68,0,0,33
1671155888.349,5.9,7.9,0.0,100,46,69,0,0,33
1671155918.378,5.8,7.9,0.0,100,43,69,0,0,33
1671155948.407,5.9,7.9,0.0,100,53,67,0,0,32
1671155978.436,4.2,7.8,0.0,100,46,64,0,0,32
1671156008.465,3.0,7.9,0.0,100,47,66,0,0,32
